Product Name,Brand,Release Year,Operating System,Screen Size (inch),Battery (mAh),Main Camera (MP),RAM (GB),Internal Storage (GB),Chip Set,CPU speed,GPU,Price
Điện Thoại Xiaomi Redmi 9C - Hàng Chính Hãng,Xiaomi,,Android,,5000 mAh,5 MP,,,MediaTek Helio G35 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.8 GHz,,2508000
Điện thoại Samsung Galaxy Z Flip3 5G (8GB/128GB) - Hàng chính hãng,Samsung,,Android,,,,,,,,,20000000
Điện Thoại Samsung Galaxy Z Flip 4 - Hàng Chính Hãng,Samsung,,Android,6.7 inch,,,,,Snapdragon 8+ Gen 1 8 nhân,"1 nhân 3.18 GHz, 3 nhân 2.7 GHz &amp; 4 nhân 2 GHz",,20250000
Điện Thoại Realme C21Y 4GB/64GB - Hàng Chính Hãng,Realme,,Android,6.5 inch,,,,,Spreadtrum T610 8 nhân,1.8 GHz,,2813000
Điện Thoại OPPO A57 (4GB/128GB) - Hàng chính hãng,OPPO,,Android,6.56 inch, 5000 mAh,,4,128, MediaTek Helio G35 8 nhân,2.3 GHz, IMG PowerVR GE8320,3750000
Điện thoại Samsung Galaxy Z Fold 4 5G 512GB Kem - Hàng chính hãng,Samsung,,Android,,,,,,,,,42000000
Điện thoại Samsung Galaxy A04s (4GB/64BG) - Hàng chính hãng,Samsung,,Android,6.5 inch,,,,,Exynos 850 (8 nhân), Mali-G52,,3990000
Điện thoại di động Xiaomi Note 12S (8G/256G) - Hàng chính hãng,Xiaomi,,Android,6.43 inch,5000 mAh,,8GB,256GB, MediaTek Helio G96 8 nhân, 2 nhân 2.05 GHz &amp; 6 nhân 2.0 GHz,Mali-G57 MC2,6690000
"Điện thoại Oppo Reno8 Z 5G (8GB/256GB) Hàng Chính Hãng, Mới 100%, Nguyên Seal | Bảo hành 12 tháng GZ32 | Điện Thoại Giá Rẻ | Điện Thoại Gaming",OPPO,,Android,,,,,,,,,8644000
Điện thoại Xiaomi Redmi 10C (4G/128G) - hàng chính hãng,Xiaomi,,Android,6.7 inch,5000 mAh,,4G,128G,Snapdragon 680 8 nhân,4 nhân 2.4 GHz &amp; 4 nhân 1.9 GHz, Adreno 610,3141000
Điện thoại Xiaomi Redmi 12 8GB/128GB - Hàng Chính Hãng,Xiaomi,,Android,6.78 inch,5000mAh,,8GB,128GB,MediaTek Helio G88 8 nhân, 2.0 GHz,Mali-G52,4390000
Điện thoại Samsung Galaxy A04s (4G+64G) A047F Đồng - Hàng Chính Hãng (chỉ giao HN và một số khu vực),Samsung,,Android,,,,,,,,,2990000
Điện Thoại Oppo A55 (4GB/64GB) - Hàng Chính Hãng - Đã Kích Hoạt Bảo Hành Điện Tử - Đen Mạnh Mẽ,OPPO,,Android,6.5 inch,,,,,MediaTek Helio G35 8 nhân, 4 nhân 2.3 GHz & 4 nhân 1.8 GHz,,3912000
Điện thoại Samsung A33 5G 6GB/128GB Xanh - Hàng Chính Hãng,Samsung,,Android,6.4 inch, 5000 mAh,,6gb,128gb,Exynos 1280 8 nhân,2 nhân 2.4 GHz &amp; 6 nhân 2 GHz,Mali-G68,6800000
Điện Thoại Samsung Galaxy A04e - Hàng Chính Hãng,Samsung,,Android,,,,,,,,,2340000
Điện thoại Xiaomi Redmi 9A - Hàng chính hãng,Xiaomi,,Android,6.53 inch,5000mAh,,,,MediaTek Helio G25,8 nhân A53 tốc độ lên tới 2.0Ghz,,2088000
Điện Thoại Samsung Galaxy A04 (3GB/32GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,Samsung,,Android,6.5 inch,,,,, MediaTek Helio P35 8 nhân, 4 nhân 2.3 GHz &amp; 4 nhân 1.8 GHz, IMG PowerVR GE8320,2400000
Điện thoại di động Samsung A24 (6G/128G) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,Samsung,,Android,6.5 inch,5000 mAh,,6G/8G,128G,MediaTek Helio G99 8 nhân,,Mali-G57,5808000
Điện thoại OPPO A76 (6GB/28GB) - Hàng chính hãng,OPPO,,Android,6.56 inch, 5000 mAh,,6 GB,128 GB, Snapdragon 680 8 nhân, 4 nhân 2.4 GHz &amp; 4 nhân 1.9 GHz, Adreno 610,5436000
Điện thoại Samsung Galaxy A33 A336E 5G Xanh - Hàng Chính Hãng,Samsung,,Android,,,,,,,,,7000000
Điện thoại Samsung Galaxy A04s (4G+64G) A047F Xanh - Hàng Chính Hãng (chỉ giao HN và một số khu vực),Samsung,,Android,,,,,,,,,2990000
Điện thoại Samsung Galaxy S23 Plus 512GB - Hàng chính hãng,Samsung,,Android,6.6 inch,,,,,Snapdragon 8 Gen 2,Adreno 740,,28191000
Điện Thoại Xiaomi Redmi 12C 3GB/32GB - Hàng Chính Hãng,Xiaomi,,Android,6.71 inch,5000 mAh,,3GB,32GB,,,MediaTek Helio G85 8 nhân,2029000
Điện Thoại OPPO A76 (6GB/128GB) - Hàng Chính Hãng ,OPPO,,Android,6.56 inch,5000 mAh,,6GB,128GB,Snapdragon 680 8 nhân,"4 nhân 2.4 GHz,  4 nhân 1.9 GHz",,5436000
Điện thoại OPPO CPH2471 - A17k Vàng - Hàng Chính Hãng (chỉ giao HN và một số khu vực),OPPO,,Android,,,,,,,,,3276000
Điện thoại Xiaomi Redmi Note 12 (4G/128G) - Hàng chính hãng Full Box,Xiaomi,,Android,6.67 inch,5000 mAh,,4GB,128GB,Snapdragon 685 8 nhân,2.8 GHz,Adreno 610,4491000
Điện Thoại Oppo A55 4GB/64GB - Hàng Chính Hãng,OPPO,,Android,6.5 inch,,,4GB, 64GB, MediaTek Helio G35 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.8 GHz,,3912000
Điện thoại Samsung Galaxy S22 Plus 5G (8GB/128GB) - Hàng Chính Hãng,Samsung,,Android,,,,,,,,,24912000
Điện Thoại Samsung Galaxy Z Flip 4 (8GB/128GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,Samsung,,Android,6.7 inch,3700 mAh,,,,Snapdragon 8+ Gen 1 8 nhân,"1 nhân 3.18 GHz, 3 nhân 2.7 GHz &amp; 4 nhân 2 GHz",,22551000
Điện thoại OPPO CPH2387 - A57 Đen - Hàng Chính Hãng,OPPO,,Android,,,,,,,,,4034000
Điện thoại Oppo A55 (4GB/64GB) - Hàng chính hãng,OPPO,,Android,6.5 inch,,,,,MediaTek Helio G35 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.8 GHz,,3912000
Điện thoại OPPO A58 6GB/128GB Đen - Hàng chính hãng,OPPO,,Android,,,,,,MediaTek Helio G85,,,4580000
Điện thoại Samsung A33 5G 6GB/128GB Cam - Hàng Chính Hãng,Samsung,,Android,6.4 inch,5000 mAh,,6gb,128gb, Exynos 1280 8 nhân, 2 nhân 2.4 GHz &amp; 6 nhân 2 GHz, Mali-G68,6800000
Điện thoại Samsung Galaxy A04 (3G+32G) SM-A045F Đồng - Hàng Chính Hãng (chỉ giao HN và một số khu vực),Samsung,,Android,,,,,,,,,2400000
Điện thoại Samsung Galaxy S23 5G 8GB/256GB - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,,Android,6.1 inch,,,,, Snapdragon 8 Gen 2 8 nhân,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz &amp; 3 nhân 2 GHz",,23491000
Điện Thoại Samsung Galaxy A34 5G (8GB/128GB) ĐKH -  Hàng Chính Hãng,Samsung,,Android,,5000 mAh,13 MP,8 GB,,MediaTek Dimensity 1080 8 nhân,2.2 GHz,Mali-G68 MC4,7164000
Điện thoại Realme C21Y (4GB/64GB) - Hàng chính hãng,Realme,,Android,6.5 inch,,,,,Spreadtrum T610 8 nhân,8 nhân 1.8 GHz,,3329000
Điện thoại Samsung Galaxy A04 (3G+32G) SM-A045F Xanh - Hàng Chính Hãng (chỉ giao HN và một số khu vực),Samsung,,Android,,,,,,,,,2400000
Điện thoại Samsung Galaxy A04 32GB - Hàng chính hãng,Samsung,,Android,6.4 inch,,,,,,"CPU 2.3GHz, 1.8GHz, Loại CPU 8 nhân",,2400000
Điện thoại OPPO CPH2471 - A17k Xanh - Hàng Chính Hãng (chỉ giao HN và một số khu vực),OPPO,,Android,,,,,,,,,3276000
Điện thoại Samsung Galaxy S23 Plus 8GB/256GB Xanh lục - Hàng chính hãng,Samsung,,Android,,,,,,Snapdragon 8 Gen 2 Mobile Platform,Octa-core (8 nhân),,25000000
Điện Thoại Samsung A33 5G 6GB/128GB - Hàng Chính Hãng,Samsung,,Android,6.4 inch,,,,,Exynos 1280 8 nhân,2 nhân 2.4 GHz &amp; 6 nhân 2 GHz,,6800000
Điện thoại TECNO Spark 6 Go (4GB/64GB) - Hàng chính hãng,Tecno,,Android,6.52 inch,,,,,MediaTek Helo A25,4 nhân 1.8 GHz,,2559000
"[HCM]Ốp Lưng IPHONE Cường Lực Trong Suốt Cao Cấp Cho Dòng Iphone 14/14Pro/14Plus/14 Pro Max, Iphone 13Mini/13Pro/13ProMax, Iphone 12/12Pro/12Promax, Iphone 11/11Pro/11ProMax- Hàng nhập khẩu",No Brand,,iOS,,,,,,,,,110000
Điện Thoại Xiaomi Redmi 9A (2GB/32GB)- Đã kích hoạt bảo hành điện tử- Hàng Chính Hãng - Sky Blue,Xiaomi,,Android,,, 5 MP,2GB,32GB,MediaTek Helio G25 8 nhân, 8 nhân 2.0 GHz, IMG PowerVR GE8320,2088000
Điện thoại OPPO A58 6GB/128GB Xanh - Hàng chính hãng,OPPO,,Android,,,,,,MediaTek Helio G85,,,4580000
Điện thoại Samsung Galaxy Z Fold4 5G (12GB/256GB) - Hàng chính hãng,Samsung,,Android,6.7 inch,,,,,Snapdragon 8+ Gen 1 8 nhân,"1 nhân 3.18 GHz, 3 nhân 2.7 GHz &amp; 4 nhân 2 GHz",,38000000
"Điện thoại Xiaomi Redmi 9A 2GB/32GB - Chip MediaTek Helio G25 8 nhân (12 nm), Màn hình 6.53"" HD+, Camera 13MP, Pin 5000 - Hàng Chính Hãng",Xiaomi,,Android,,,,,,,,,2148000
Điện thoại Samsung Galaxy S23 5G (8GB/128GB) - Hàng chính hãng,Samsung,,Android,,,,,,,,,23491000
Điện Thoại Xiaomi Note 11 Pro (8GB/128GB) - Hàng Chính Hãng,Xiaomi,,Android,6.67 inch,, 16 MP, 8 GB, 128 GB, MediaTek Helio G96 8 nhân, 2 nhân 2.05 GHz &amp; 6 nhân 2.0 GHz, Mali-G57 MC2,7032000
Điện thoại Samsung Galaxy A04e (3GB/32GB) - Hàng chính hãng,Samsung,,Android,6.5 inch,,,,,MediaTek Helio P35 8 nhân,,,2325000
Điện thoại Samsung Galaxy S22 Plus 5G (8GB/128GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,,Android,6.6 inch,,,,,Snapdragon 8 Gen 1 8 nhân," 1 nhân 3 GHz, 3 nhân 2.5 GHz & 4 nhân 1.79 GHz",,23000000
Điện thoại Samsung Galaxy A34 5G 8GB/128GB Xanh - Hàng chính hãng,Samsung,,Android,,,,,,Dimensity 1080 – 5nm,,,7080000
Điện thoại Samsung Galaxy Z Flip3 5G (8GB/128GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,,Android,,,,,,,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz & 4 nhân 1.8 GHz",,20000000
Điện Thoại Samsung Galaxy A04 (3GB/32GB) - Hàng Chính Hãng,Samsung,,Android,6.5 inch, 5000 mAh,, 3 GB, 32 GB, MediaTek Helio P35 8 nhân, 4 nhân 2.3 GHz &amp; 4 nhân 1.8 GHz, IMG PowerVR GE8320,2400000
Điện Thoại Samsung Galaxy Z Flip3 5G 8GB/256GB - Hàng chính hãng chưa active,Samsung,,Android,,3300mAh,,8GB,,,,,20000000
Điện thoại Xiaomi REDMI 9A (2+32) Xanh dương - Hàng chính hãng (chỉ giao HN và một số khu vực),Xiaomi,,Android,,,,,,,,,2088000
Điện thoại Samsung Galaxy Z Flip 4 5G 128GB Vàng - Hàng chính hãng,Samsung,,Android,,,,,,,,,22551000
Điện Thoại Samsung Galaxy Z Flip 4 (8GB/128GB) - ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,Samsung,,Android,,3700,,8GB,128GB,8 nhân,"3.18GHz, 2.7GHz, 2GHz",,22551000
Điện thoại Samsung Galaxy S23 Plus 8GB/256GB Kem - Hàng chính hãng,Samsung,,Android,,,,,,Snapdragon 8 Gen 2 Mobile Platform,Octa-core (8 nhân),,25000000
Điện Thoại Oppo A55 4GB/64GB - Hàng Chính Hãng,OPPO,,Android,,5000 mah,,4GB,64GB,MediaTek Helio G35,, IMG PowerVR GE8320,3912000
Điện thoại Samsung Galaxy A04 3/32GB - Hàng chính hãng,Samsung,,Android,6.5 inch,,,,,MediaTek Helio P35 8 nhân,,,2400000
Điện thoại Samsung Galaxy A33 (5G) A336 (6 GB/128 GB)- Hàng chính hãng,Samsung,,Android,,5000 mAh,,6 GB,128 GB,Exynos 1280 8 nhân,2 nhân 2.4 GHz &amp; 6 nhân 2 GHz,Mali-G68,7000000
Điện thoại Oppo A57 (4GB/64GB) - Hàng chính hãng,OPPO,,Android,6.56 inch,,,,,MediaTek Helio G35 8 nhân,8 nhân 2.3 GHz,,4284000
Điện thoại Samsung Galaxy S23 Plus 8GB/512GB Đen - Hàng chính hãng,Samsung,,Android,,,,,,Snapdragon 8 Gen 2 Mobile Platform,Octa-core (8 nhân),,28000000
Điện thoại Xiaomi Redmi 10C 4GB/128GB Xám - Hàng Chính Hãng,Xiaomi,,Android,6.7 inch,5000 mAh,,4gb,128gb,Snapdragon 680 8 nhân, 4 nhân 2.4 GHz &amp; 4 nhân 1.9 GHz,Adreno 610,3468000
Điện Thoại Samsung Galaxy S23+ 5G - Hàng Chính Hãng,Samsung,,Android,,,,,,,,,25000000
điện thoại Redmi A2 - Hàng chính hãng,Xiaomi,,Android,,,,,,,,,1881000
Điện thoại Samsung Galaxy Z Flip4 5G (8 GB/256 GB) - Hàng chính hãng,Samsung,,Android,,,,,,,,,22200000
Điện thoại Samsung Galaxy Z Flip 4 5G 256GB Tím - Hàng chính hãng,Samsung,,Android,,,,,,,,,22200000
Điện thoại Xiaomi Redmi 10C (4GB/64GB) - Hàng chính hãng,Xiaomi,,Android,,,,,, Snapdragon 680 8 nhân,,,3468000
Điện thoại Xiaomi Redmi 10A (2GB/32GB) - Hàng chính hãng,Xiaomi,,Android,,,,2GB,32GB, MediaTek Helio G25 8 nhân,,,2556000
Điện thoại di động Samsung A34 (8G/256G) - Hàng Chính Hãng - Đã kích hoạt BH điện tử,Samsung,,Android,6.6 inch,5000,,8Gb,"128GB, 256GB",MediaTek Dimensity 1080 8 nhân,2.6 GHz,Mali-G68 MC4,8490000
Điện thoại Samsung Galaxy S23 Plus 8GB/512GB Xanh lục - Hàng chính hãng,Samsung,,Android,,,,,,Snapdragon 8 Gen 2 Mobile Platform,Octa-core (8 nhân),,28000000
Điện thoại Samsung Galaxy S23 8GB 256GB - Hàng chính hãng,Samsung,,Android,6.1 inch,,,,,Snap dragon 8 gen 2,,,23491000
Điện Thoại Xiaomi Redmi 10C 4GB/128GB - Hàng Chính Hãng,Xiaomi,,Android,6.7 inch,5000 mAh,,4GB,128GB,Snapdragon 680,Octa-Core,Adreno 610,3468000
Điện thoại Xiaomi Redmi A1 2GB + 32GB Camera kép - Pin 5000mAh - Màn hình độ phân giải HD+ - Hàng chính hãng,Xiaomi,,Android,,,,2 GB,32 GB,,,,2088000
Điện thoại Samsung Galaxy Z Flip3 5G (8GB/256GB) - Hàng chính hãng,Samsung,,Android,6.7 inch,,,,,Snapdragon 888 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.4 GHz &amp; 4 nhân 1.8 GHz",,20000000
Điện thoại Samsung Galaxy A04s 4/64GB - Hàng chính hãng,Samsung,,Android,6.5 inch,,,,,Exynos 850 8 nhân,,,2990000
Điện Thoại Di Động OPPO A55 (4G+64G) - Hàng Chính Hãng,OPPO,,Android,,5000mAh,,,,,,,3912000
Điện thoại Xiaomi Redmi 10C (4 +128) Xám - Hàng Chính Hãng (chỉ giao HN và một số khu vực),Xiaomi,,Android,,,,,,,,,3468000
Điện Thoại OPPO A57 (4GB/64GB) - Hàng Chính Hãng ,OPPO,,Android,,,,,,Helio G35,tối đa 2.3GHz,,4284000
Điện thoại Samsung Galaxy S23 Plus 8GB/512GB Tím - Hàng chính hãng,Samsung,,Android,,,,,,Snapdragon 8 Gen 2 Mobile Platform,Octa-core (8 nhân),,28000000
Điện thoại OPPO A76 (6 GB/128 GB) - Hàng chính hãng,OPPO,,Android,,5000 mAh,,6 GB,128 GB, Snapdragon 680 8 nhân, 4 nhân 2.4 GHz &amp; 4 nhân 1.9 GHz,Adreno 610,5436000
Điện thoại Samsung Galaxy S23 8GB/128GB Xanh lục - Hàng chính hãng,Samsung,,Android,,,,,,Snapdragon 8 Gen 2 Mobile Platform,Octa-core (8 nhân),,23491000
Điện thoại Samsung Galaxy S23 Plus 8GB/512GB Kem - Hàng chính hãng,Samsung,,Android,,,,,,Snapdragon 8 Gen 2 Mobile Platform,Octa-core (8 nhân),,28000000
Điện thoại Samsung Galaxy Z Flip 4 5G 256GB Vàng - Hàng chính hãng,Samsung,,Android,,,,,,,,,20915000
Điện thoại Samsung Galaxy S23 Plus 8GB/256GB Đen - Hàng chính hãng,Samsung,,Android,,,,,,Snapdragon 8 Gen 2 Mobile Platform,Octa-core (8 nhân),,25000000
Điện thoại Samsung Galaxy Z Flip3 5G (8GB/256GB) - Hàng chính hãng,Samsung,,Android,,,,,, Snapdragon 888 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.4 GHz &amp; 4 nhân 1.8 GHz",,20000000
Điện thoại Samsung Galaxy A04s (4G+64G) A047F Đen - Hàng Chính Hãng (chỉ giao HN và một số khu vực),Samsung,,Android,,,,,,,,,2990000
Điện thoại Xiaomi Redmi 10C 4/128GB - Hàng chính hãng,Xiaomi,,Android,6.7 inch,5000mAh,,4GB,128GB, Snapdragon 680 8 nhân,4 nhân 2.4 GHz & 4 nhân 1.9 GHz,,3468000
Điện Thoại OPPO A57 (4GB/128GB) - Hàng Chính Hãng ,OPPO,,Android,6.56 inch,,,,,tối đa 2.3GHz,LCD,,4632000
Điện thoại Xiaomi Redmi 10C 4GB/128GB Xanh Dương - Hàng Chính Hãng,Xiaomi,,Android,6.7 inch,5000 mAh,,4gb,128gb,Snapdragon 680 8 nhân,4 nhân 2.4 GHz &amp; 4 nhân 1.9 GHz,,3468000
Điện thoại OPPO A55 4GB/64GB Đen- Hàng Chính Hãng,OPPO,,Android,6.5 inch,5000mAh,,4 GB,64 GB,"Helio G35, tối đa 2.3GHz",,,3912000
Điện thoại Samsung Galaxy Z Flip4 5G (8GB/256GB) - Hàng chính hãng,Samsung,,Android,6.7 inch,,,,,Snapdragon 8+ Gen 1 8 nhân,"1 nhân 3.18 GHz, 3 nhân 2.7 GHz &amp; 4 nhân 2 GHz",,22200000
Điện thoại Xiaomi Redmi 10A (2GB/32GB) - Hàng Chính Hãng,Xiaomi,,Android,6.53 inch,,,,,MediaTek Helio G25,4 nhân 2.0 GHz &amp; 4 nhân 1.5 GHz,,2556000
Điện thoại Samsung Galaxy S22 Plus 5G (8GB/256GB) - Hàng Chính Hãng,Samsung,,Android,,,,,,,,,23900000
Điện thoại Samsung Galaxy Z Flip4 5G (8GB/128GB) - Hàng chính hãng,Samsung,,Android,6.7 inch,,,,,Snapdragon 8+ Gen 1 8 nhân,"1 nhân 3.18 GHz, 3 nhân 2.7 GHz và 4 nhân 2 GHz",,20250000
Điện Thoại Oppo A55 (4GB/64GB) - Hàng Chính Hãng,OPPO,,Android,6.5 inch,,,,, MediaTek Helio G35 8 nhân, 4 nhân 2.3 GHz & 4 nhân 1.8 GHz,,3912000
Điện thoại Xiaomi Redmi 10C (4 +128) Xanh Dương - Hàng Chính Hãng (chỉ giao HN và một số khu vực),Xiaomi,,Android,,,,,,,,,3468000
Điện thoại OPPO A57 (4GB/28GB) - Hàng chính hãng,OPPO,,Android,, 5000 mAh,,4 GB,128 GB, MediaTek Helio G35 8 nhân, 2.3 GHz, IMG PowerVR GE8320,4632000
Điện thoại OPPO A57 (4GB/64GB) - Hàng chính hãng,OPPO,,Android,6.56 inch,5000 mAh,, 4 GB, 64 GB,MediaTek Helio G35 8 nhân, IMG PowerVR GE8320, IMG PowerVR GE8320,4284000
"ulefone Armor 24 (TIÊU CHUẨN MIL-STD-810H ,IP69K, chống nước ,chống sốc,pin 22000mah , màn hình6,78 inch, NFC, Ram24GB(12Gb+12Gb),rom 256GB)-hàng chính hãng ",Ulefone,,Android,,,,,,,,,7990000
"Điện thoại Ulefone armor 22(chống nước,chống va đập, Màn hình giọt nước 6,58 inch, RAM:8GB,Rom 128GB/256GB,Thẻ nhớ microSD Lên đến 512GB, Camera kép 64MP + 64MP)- hàng chính hãng",Ulefone,,Android,,,,,,,,,5990000
"Điện thoại Ulefone Power Armor 19T (Camera chụp ảnh nhiệt FLIR , RAM 17GB + ROM 256GB , Helio G99,sạc nhanh 66W,pin 9600mAh,chống nước,chống sốc)-hàng chính hãng",Ulefone,,Android,,,,,,,,,12990000
"Điện Thoại Chắc Chắn OUKITEL WP23 PRO ( Ram 16Gb(8GB+8Gb),Rom 128GB ,Android13, Pin 10600mAh,Màn hình 6.52 ""HD + ,13MP camera Sau,chống nước,chống va đập)-hàng chính hãng",Oukitel,,Android,,,,,,,,,4990000
"Điện thoại Ulefone Armor 13 (pin khủng,pin 13.200mAh, Ram 8Gb,Rom 256Gb,chống sốc,chống va đập,nội soi,tia hồng ngoại,tia lade,loa to,học online)- hàng chính hãng",Ulefone,,Android,,,,,,,,,7990000
"Điện thoại Xiaomi Redmi 10A (2GB/32GB) - Hàng chính hãng, Nguyên seal, Fullbox",Xiaomi,,Android,6.53 inch,5000mAh,,2GB,32GB, MediaTek Helio G25 8 nhân,4 nhân 2.0 GHz &amp; 4 nhân 1.5 GHz,IMG PowerVR GE8320,2556000
"Điện Thoại ulefone armor 21(Loa to 122dB Speaker ,pin 9600mAh,sạc nhanh 33W,Màn hình 6.58 in,camera chính 64MP,ban đêm 24MP,Ram 16Gb(8+8),rom 256Gb, điều khiển từ xa đa năng)- hàng chính hãng",Ulefone,,Android,,,,,,,,,6990000
Điện thoại Xiaomi Redmi 10C 4/128GB - Hàng chính hãng,Xiaomi,,Android,6.7 inch,,,4GB,128GB,Snapdragon 680,"Octa-core CPU, up to 2.4GHz",,3468000
"Oukitel wp30 Pro 5g SIÊU BỀN (sạc nhanh 120W ,pin 11000 mAh,màn hình 6.78 inch,Ram 24 GB(12gb + 12GB),Rom 512GB ,120Hz ,Android 13,camera 108mp)- hàng chính hãng",Oukitel,,Android,,,,,,,,,11990000
Điện Thoại Xiaomi Redmi 9A (2GB/32GB)- Đã kích hoạt bảo hành điện tử- Hàng Chính Hãng - Peacock Green,Xiaomi,,Android,6.53 inch,,,2GB,32GB,MediaTek Helio G25 8 nhân,8 nhân 2.0 GHz,PowerVR GE8320,2088000
Điện thoại OPPO A55 (4GB/64GB) - Hàng chính hãng,OPPO,,Android,6.5 inch,,,,,,,,3912000
Điện Thoại OPPO A57 (4GB/64GB) - Hàng Chính Hãng ,OPPO,,Android,6.56 inch,5000 mAh,,,,MediaTek Helio G35 8 nhân,2.3 GHz,,4284000
Điện thoại OPPO A55 (4GB/64GB) Đen - Hàng chính hãng,OPPO,,Android,,,,,,,,,3912000
"Điện Thoại Thông Minh siêu bền Oukitel WP27 (Ram 12GB,Rom 256GB,Màn hình 6.78 “FHD + ,pin 8300MAH,NFC, Android 13 ,CPU MTK G99,chống nước,chống sốc) –hàng chính hãng",Oukitel,,Android,,,,,,,,,6990000
"Điện thoại Ulefone armor 14 (Ram 4Gb,Rom 64Gb, Pin khủng,pin 10.000mAh,sạc không dây,chống nước,chống va đập,Màn hình 6,52 Inch,camera 20MP) – hàng chính hãng",Ulefone,,Android,,,,,,,,,4990000
Điện thoại Samsung Galaxy Z Flip4 5G - Hàng chính hãng,Samsung,,Android,,,,,,Snapdragon 8+ Gen 1 8 nhân,,,22200000
Điện Thoại Samsung Galaxy A05s (4GB/128GB) - Hàng Chính Hãng ,Samsung,,Android,6.7 inch,5000 mAh,,4 GB,128 GB,8 nhân,"2.4GHz, 1.9GHz",,3980000
"Điện thoại Xiaomi Redmi 13C (4+128GB) | 6.74"" 90Hz| Media Tek Helio G85| 5000mAh - Hàng chính hãng",Xiaomi,,Android,,5000 mah ,,4GB,128GB,Helio G85,,,2793000
Điện Thoại Xiaomi Redmi Note 12S (8GB/256GB) - Hàng Chính Hãng,Xiaomi,,Android,,,,,,,,,6132000
Điện Thoại Samsung A04s 4GB/64GB - Hàng Chính Hãng,Samsung,,Android,6.5 inch,5000mAh,,4GB,64GB,Exynos 850 8 nhân,2.0 GHz 2.0 GHz,Mali-G52,2757000
Điện thoại di động Tecno Spark 10 (4G+4G/128G) - Hàng chính hãng,Tecno,,Android,6.6 inch,5000 mAh,,4GB + 4GB,128GB,Media Teck,Helio G37,,3315500
Điện Thoại Samsung Galaxy A54 5G (8GB/128GB) - Hàng Chính Hãng,Samsung,,Android,6.4 inch,5000 mAh,,8 GB,128 GB,  Loại CPU 8 nhân,"2.4GHz, 2GHz",,9120000
Điện Thoại Oppo A55 (4GB/64GB) - Hàng Chính Hãng,OPPO,,Android,6.5 inch, 5000 mAh,16 MP,4GB, 64 GB, MediaTek Helio G35 8 nhân,4 nhân 2.3 GHz &amp; 4 nhân 1.8 GHz, IMG PowerVR GE8320,3912000
Điện Thoại Samsung Galaxy Z Flip 3 (128GB) - Hàng Chính Hãng- Đã kích hoạt bảo hành,Samsung,,Android,,,,,, Snapdragon 888 8 nhân,,,20000000
