Product Name,Brand,Release Year,Operating System,Screen Size (inch),Battery (mAh),Main Camera (MP),RAM (GB),Internal Storage (GB),Chip Set,CPU speed,GPU,Price
Điện thoại Samsung Galaxy S21 FE 5G (8GB/128GB) - Hàng chính hãng,Samsung,,Android,6.4 inch,4500mAh, 32 MP,8GB, 128 GB,Exynos 2100 8 nhân,"1 nhân 2.9 GHz, 3 nhân 2.8 GHz & 4 nhân 2.2 GHz",Mali-G78 MP14,8650000
Điện Thoại Xiaomi Redmi Note 12 4GB/128GB - Hàng Chính Hãng,Xiaomi,,Android,6.67 inch,,,,,Snapdragon 685 8 nhân,,,2659000
Điện Thoại Samsung Galaxy S23 Ultra 5G (8GB/256GB) - Hàng Chính Hãng,Samsung,,Android,6.8 inch, 5000 mAh,,8GB,256GB, Snapdragon 8 Gen 2 8 nhân," 1 nhân 3.36 GHz, 4 nhân 2.8 GHz &amp; 3 nhân 2 GHz", Adreno 740,22590000
Điện thoại Samsung Galaxy S23 Plus 5G (8GB/512GB) - Hàng chính hãng ,Samsung,,Android,6.6 inch,4700 mAh,12 MP,8GB,512GB,Snapdragon 8 Gen 2 8 nhân,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Adreno 740,17990000
Điện thoại Gaming Nubia Neo | 18(8+10)GB/256GB | 6.6'' FHD+ 120Hz | Unisoc T820 | Sạc 22.5W | Hàng Chính Hãng,Redmagic,,Android,6.6 inch,,,,,Unisoc T820,2.7Ghz,,4590000
Điện thoại TECNO Spark 10 4GB+4GB/128GB - RAM mở rộng tới 8GB | Pin 5000 mAh | Màn 90Hz - Sạc nhanh 18W - Hàng chính hãng,Tecno,,Android,,5000 mah,,4GB,128 GB,MediaTek Helio G37,,,2596000
Điện thoại Samsung Galaxy Z Fold 5 - Hàng chính hãng,Samsung,,Android,,,,,,,,,32990000
Điện Thoại Samsung Galaxy Z Flip5 5G - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,Samsung,,Android,6.7 inch,3700,,8GB,256GB, Snapdragon 8 Gen 2 for Galaxy," 1 nhân 3.36 GHz, 4 nhân 2.8 GHz &amp; 3 nhân 2 GHz", Adreno 740,17900000
XIAOMI 13T 5G (12GB-256GB) - Hàng chính hãng,Xiaomi,,Android,6.67 inch,,,,, MediaTek Dimensity 8200-Ultra," 1 nhân 3.1 GHz, 3 nhân 3 GHz &amp; 4 nhân 2 GHz",,11390000
"Điện thoại Tecno POVA 5 (8GB+8GB/128GB) RAM mở rộng 16GB | Pin 6000 mAh | Màn 120Hz - Sạc nhanh 45W - Hàng Chính Hãng			 				",Tecno,,Android,6.78 inch,6000mah,,8GB,128GB,CPU Mediatek MT8781 Helio G99 (6nm),,,3799000
Điện thoại Xiaomi 13T Pro (12GB/512GB) - Hàng chính hãng ,Xiaomi,,Android,6.67 inch,5000mah,,12,512,MediaTek Dimensity 9200+ 5G 8 nhân,"1 nhân 3.35 GHz, 3 nhân 3 GHz &amp; 4 nhân 2 GHz",Immortalis-G715,14494000
Điện Thoại Itel S23 128GB/16GB (8GB+8GB) | Pin 5000mAh | 6.6 Inch | Camera 50MP | 90Hz | Face ID - Hàng chính Hãng,Itel,,Android,6.6 inch,5000mAh,,16GB,128GB,Unisoc T606,,,2549000
Điện Thoại Vsmart Bee Lite 2GB/16GB - Hàng Chính Hãng,Vsmart,,Android,5.45 inch,,,,,Snapdragon 215 4 nhân,4 nhân 1.3 GHz,,959000
Điện thoại Samsung Galaxy M14 5G (4GB/64GB) - Hàng chính hãng,Samsung,,Android,6.6 inch,6000 mah,,4GB,128GB,Exynos 1330,,,3135000
Điện Thoại Samsung Galaxy A54 5G (8GB/128GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,Samsung,,Android,6.4 inch,,,8GB,128GB, Exynos 1380 8 nhân, 4 nhân 2.4 GHz &amp; 4 nhân 2 GHz, Mali-G68,7550000
